review_id,rating,content,created_at
19995521,5,Máy hơi chậm một xíu trong một số tác vụ. Được cái gọn nhẹ. To hơn điện thoại nhưng nhỏ và nhẹ nhàng hơn tablet lớn. Màn 8.7 inch độ phân giải 800x1340 cho ra hình ảnh ở mức độ trung bình. Nhưng có thể cho 5 sao vì chỉ số (benefit/cost) ở mức cao nhất trong phân khúc giá.,2024-10-02 15:46:08
19974088,3,"Gói hàng, giao hàng ok
Mình chỉ khá thấy vọng về màn hình mặc dù đã có chuẩn bị.

- Độ sáng , màu Sắc chấp nhận được, quá trình xem phim hay video cũng đến nỗi tệ tuy nhiên :
-  Hiện tưởng hở sáng là thấy rõ 
Không biết có phải do sản phẩm lỗi không ?
Lưu ý : Hình đính kèm mình chụp đêm nên thấy khá rõ. Thực tế bên ngoài không tệ đến vậy",2024-09-08 07:57:18
19792367,5,"Tiki giao hàng nhanh, chưa tới hai tiếng mình đã nhận hàng, nguyên seal, máy tác vụ hơi chậm nhưng so trong phân khúc giá rẻ thì quá oke",2024-03-03 16:19:55
19930298,5,"Hơi tiếc độ phân giải màn hình không được tốt lắm, xem phim tầm 1h liên tục có cảm giác hơi mỏi mắt nhưng được cái là hàng chính hãng cyar samsung nên chấp nhận được trong tầm giá",2024-07-18 03:11:20
19865635,5,"Shop giao hàng nhanh, đóng gói cẩn thận. Dùng tới nay là gần 1 tháng rồi chưa thấy có lỗi gì cả. Máy thiết kế viền vuông hiện đại. Màn hình đẹp dù chỉ HD+ thôi, mượt mà xài ổn định.",2024-05-07 05:30:28
20037019,5,"Máy mới, giao hàng nhanh, chu đáo và rất cẩn thận. Mua đồ điện tử mắc tiền mình đều ưu tiên Tiki. Hy vọng sẽ ổn và dùng được lâu",2024-11-25 03:12:17
20078043,5,Đóng gói cẩn thận tuy hơi chậm chút,2025-02-08 11:13:39
19819900,5,Máy ổn đẹp với mức giá  vậy qua okie mọi người có thể xem xét mua,2024-03-25 09:15:11
20063758,5,Ok Good 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2025-01-10 09:23:16
19955651,2,Bị sọc màn hình. Từ lúc mở box ra đã thấy nhưng chủ quan k quay clip. K biết có đổi đc không,2024-08-15 16:50:59
20016923,5,Mình dùng đọc sách file PDF và ghi chú đọc sách rất phù hợp. Mình không chơi game và chủ yếu đọc sách offline.,2024-10-26 16:13:32
20078040,4,Sản phẩm hoàn thiện chưa được tốt ở phần tiếp xúc màn hình với khung máy,2025-02-08 11:11:26
19802461,5,Ổn áp trong tầm giá có điều chơi liên quân ko hiểu do cảm ứng hay do game thấy lâu lâu như ko cảm ứng được nhân vật toàn đứng im ko di chuyển đc,2024-03-11 20:07:33
19948695,5,"Nguyên seal, thiết kế đẹp, màn hình hơi rỗ",2024-08-08 07:59:55
19975011,5,"Rất tin tưởng tiki trading. Máy đẹp, hoàn thiện tốt nhưng sử dụng có vẻ không được mượt mà lắm.",2024-09-09 05:37:51
20047072,5,Máy mới nguyên hộp. Ủng hộ Tiki uy tín 5 sao,2024-12-12 05:40:14
19949989,5,Giao nhanh. Máy xài tốt.,2024-08-09 13:05:49
19978894,5,"Tốt trong tầm giá, màn ko đẹp lắm, tốc độ ko mượt lắm, đk cái đa nhiệm cũng ok",2024-09-13 04:35:55
19992456,5,"Máy ổn trong tầm giá, nguyên seal, bao gói kỹ",2024-09-29 05:18:53
19929545,5,"Ổn, có sạc nhanh, cảm ứng mượt. Với giá này thì quá ổn.",2024-07-17 05:47:35
19937297,5,Màn hình hơi xấu. Cấu hình tốt. Thiết kế đẹp. Gọn nhẹ. Nói chung hời so với tầm giá,2024-07-26 05:10:41
19950725,5,"Hàng giao đúng chất lượng , giao nhanh, nguyên seal",2024-08-10 09:08:30
19997107,4,Không kiểm tra đc thời hạn bảo hành vì không có số imei.,2024-10-04 14:31:51
20012013,5,"Đẹp, giá hợp lý",2024-10-21 15:26:10
20034938,5,"Sảm phẩm đúng với hình ảnh, sử dụng tốt.",2024-11-21 07:04:52
20040892,5,Ổn! Phù hợp giá tiền! Thank shop!,2024-12-01 09:41:17
20000683,5,"Máy mới, xài mượt, pin lâu giá cả hợp lý",2024-10-09 06:21:21
20072703,5,Chất lượng dùng ok,2025-01-26 03:06:58
19900099,5,"Nhân viên CSKH thân thiện nhiệt tình, sản phẩm ổn áp trong tầm giá.",2024-06-12 09:19:08
19922407,5,Tuyệt vời Với giá và chất lượng như vậy. Rất hài lòng.,2024-07-09 02:19:29
19933536,5,Khi lấy khe cắm sim ra thì ko lắp vừa sim. Máy chạy ổn,2024-07-22 04:20:47
19999208,5,"Giao hàng nhanh, chất lượng tốt",2024-10-07 12:53:12
19949890,5,"Khá ok, cho con xài tác vụ cơ bản đủ dùng",2024-08-09 11:03:50
19879087,4,"Mới nhận dc hàng, mơ lên chạy thử thấy ổn hết, cho 4* trc",2024-05-21 05:17:21
20077359,5,,2025-02-07 07:25:23
20071825,5,Ok,2025-01-23 17:26:04
20073222,5,,2025-01-28 09:53:15
20071988,5,,2025-01-24 06:03:15
19933159,1,Màn hình xấu !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2024-07-21 13:37:14
19805459,1,Sản phẩm lỗi. Màn hình cảm ứng bị giật giật ko thao tác được,2024-03-14 04:34:01
19939452,5,,2024-07-29 03:36:32
20002845,5,hàng chất lượng,2024-10-11 07:45:44
19961256,5,"Máy đẹp , mượt , giá tốt",2024-08-22 14:39:28
19851144,5,Máy rất tốt. Chạy mượt. Màn hình ổn trong tầm giá.,2024-04-22 12:02:24
20052646,5,,2024-12-20 11:41:06
20051378,5,,2024-12-18 09:39:39
20050610,5,,2024-12-17 05:02:51
20047774,5,,2024-12-13 03:57:05
20042938,5,,2024-12-05 02:24:07
20032109,5,tot,2024-11-16 13:22:29
19925783,5,Sản phẩm tốt trong tầm giá!,2024-07-12 11:58:54
19921579,3,Mờ lắm đắt so vs giá tiền,2024-07-08 03:45:19
20026836,5,,2024-11-09 06:57:20
20026685,5,,2024-11-09 02:23:19
20025181,4,,2024-11-06 15:19:41
